Регион,свадьбы сент. 2015,свадьбы сент. 2016,свадьбы сент. 2017,свадьбы сент. 2018,свадьбы сент. 2019,свадьбы сент. 2020,свадьбы сент. 2021,тренд 2015-2019,срзнач 2021 и тренда,свадьбы сент. 2022,избыточные свадьбы,пресс-релизы о браках мобилизованных,мужчин 18-49 в незарегистрированном союзе,всего мужчин 18-49
Алтайский край,1810,1529,1776,1518,1420,1419,1554,1373,1463,2361,898,,42287,467846
Амурская область,703,617,676,579,565,518,599,533,566,1658,1092,,15470,177185
Архангельская область без автономии,835,709,820,688,639,603,648,614,631,788,157,,17411,233189
Астраханская область,979,914,961,849,765,674,592,745,668,823,155,,10766,212511
Белгородская область,1661,1194,1510,1446,1273,968,1211,1259,1235,1620,385,443,14155,326120
Брянская область,1060,922,1054,910,871,781,745,846,795,1088,293,,12528,243771
Владимирская область,1314,1175,1130,1014,948,840,960,848,904,1025,121,131,16333,281231
Волгоградская область,2429,2065,2423,2066,1759,1538,1608,1746,1677,,,,35708,529201
Вологодская область,988,796,934,772,760,674,659,706,682,,,210,17744,238308
Воронежская область,2266,1946,2308,2051,2011,1619,1753,1994,1873,2166,293,823,27529,487434
Москва,11515,9807,11185,10142,9650,8717,10384,9441,9912,10500,588,,174611,2641511
Санкт-Петербург,6603,6140,6538,6158,5594,5330,5228,5606,5417,5958,541,483,72948,1173019
Севастополь,581,569,649,522,480,390,434,485,459,,,61,6718,123352
Еврейская автономная область,161,142,142,99,113,104,78,89,83,262,179,,3699,35882
Забайкальский край,759,714,787,661,665,606,631,644,637,1551,914,1435,25936,244565
Ивановская область,823,754,835,745,603,574,597,617,607,774,167,,15786,210434
Иркутская область,2046,1793,1969,1704,1853,1445,1622,1730,1676,2775,1099,,53420,511734
Кабардино-Балкарская Республика,630,545,575,565,543,617,439,525,482,,,,3413,188739
Калининградская область,898,908,931,948,818,745,914,864,889,1279,390,,14139,234098
Калужская область,930,820,899,868,780,697,699,783,741,750,9,123,13522,223460
Камчатский край,347,329,338,249,274,257,289,239,264,470,206,22,6487,81060
Карачаево-Черкесская Республика,267,246,250,235,250,269,176,236,206,409,203,,2678,97777
Кемеровская область – Кузбасс,1994,1848,2054,1798,1729,1519,1550,1710,1630,2555,925,,51415,554701
Кировская область,1043,897,806,719,725,652,663,593,628,984,356,,21290,248888
Костромская область,568,535,494,424,402,374,395,351,373,470,97,168,7263,127256
Краснодарский край,5822,5372,6398,5864,5236,4729,4877,5534,5205,6221,1016,,68215,1193674
Красноярский край,2381,2163,2418,2056,1982,1799,2072,1928,2000,2773,773,,61500,639711
Курганская область,687,584,583,549,500,479,455,457,456,788,332,242,12122,157230
Курская область,1010,883,1055,890,861,707,831,852,841,,,165,10618,220457
Ленинградская область,1024,956,932,845,845,809,902,779,840,1211,371,417,32038,445461
Липецкая область,1122,937,1127,949,877,763,834,859,846,,,163,11753,227687
Магаданская область,94,98,111,97,83,61,81,89,85,210,125,,3460,32347
Московская область,7083,6269,6623,6084,6334,6044,6372,5973,6172,,,1064,95810,1755234
Мурманская область,586,544,558,488,449,383,453,426,439,551,112,117,11234,180241
Ненецкий автономный округ,30,25,22,25,16,17,16,15,15,,,,1099,10320
Нижегородская область,3217,2756,2751,2408,2316,2149,2242,2044,2143,,,596,40360,672305
Новгородская область,520,474,497,373,380,342,397,334,365,585,220,195,8715,120563
Новосибирская область,2687,2424,2552,2272,2150,1941,2250,2049,2149,2816,667,,47988,615339
Омская область,1602,1328,1560,1391,1369,1227,1234,1329,1281,1662,381,630,30527,396491
Оренбургская область,1906,1511,1593,1466,1425,1317,1265,1278,1271,1410,139,,25301,401740
Орловская область,660,610,692,587,548,429,523,545,534,576,42,,7113,139929
Пензенская область,1171,950,1114,940,878,840,847,831,839,,,,13350,262375
Пермский край,2199,1947,1976,1763,1779,1527,1614,1625,1619,2548,929,1278,55690,539367
Приморский край,2189,2049,2179,1912,1580,1443,1581,1575,1578,,,605,35284,438516
Псковская область,544,425,462,470,382,397,397,372,384,442,58,,10284,134190
Республика Адыгея,325,311,364,310,271,272,277,283,280,304,24,33,4917,100085
